"class","comment","added_attributes","deleted_attributes","reference_version","target_version"
"<http://www.w3.org/ns/org#Organization>","","","<http://data.europa.eu/a4g/ontology#hasOrganisationUnitName>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Notice>","","","<http://data.europa.eu/a4g/ontology#hasLongTitle>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#LotGroup>","","<http://purl.org/dc/terms/description>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#LotGroup>","","<http://purl.org/dc/terms/title>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#TenderGroup>","","<http://purl.org/dc/terms/description>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#TenderGroup>","","<http://purl.org/dc/terms/title>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#DesignContestRegimeTerm>","","<http://data.europa.eu/a4g/ontology#hasDescriptionOfPrizes>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ProcedureTerm>","","<http://data.europa.eu/a4g/ontology#isSubmissionForAllLotsRequired>","<http://data.europa.eu/a4g/ontology#isSubmissionForAllLotsAllowed>","3.1.0","4.0.0-rc.1"
"<http://creativecommons.org/ns#InformationConcept>","","<http://purl.org/dc/terms/description>","<http://data.europa.eu/a4g/ontology#hasDescription>","3.1.0","4.0.0-rc.1"
"<http://creativecommons.org/ns#InformationConcept>","","<http://www.w3.org/2004/02/skos/core#prefLabel>","<http://data.europa.eu/a4g/ontology#hasName>","3.1.0","4.0.0-rc.1"
"<http://creativecommons.org/ns#Requirement>","","<http://purl.org/dc/terms/description>","<http://data.europa.eu/a4g/ontology#hasDescription>","3.1.0","4.0.0-rc.1"
"<http://creativecommons.org/ns#Requirement>","","<http://www.w3.org/2004/02/skos/core#prefLabel>","<http://data.europa.eu/a4g/ontology#hasName>","3.1.0","4.0.0-rc.1"
"","","<http://purl.org/dc/terms/description>","<http://data.europa.eu/a4g/ontology#hasDescription>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/m8g/Person>","","","<http://data.europa.eu/m8g/deathDate>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/m8g/Person>","","","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/m8g/Channel>","","<http://purl.org/dc/terms/description>","<http://data.europa.eu/a4g/ontology#hasDescription>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Item>","","<http://data.europa.eu/a4g/ontology#hasAddressURL>","<http://data.europa.eu/a4g/ontology#hasURL>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Item>","","","<http://data.europa.eu/a4g/ontology#hasAdditionalInformation>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Item>","","","<http://data.europa.eu/a4g/ontology#hasEndpoint>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Item>","","","<http://data.europa.eu/a4g/ontology#isAdhocChannel>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Item>","","","<http://data.europa.eu/a4g/ontology#hasName>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#AgentInRole>","","<http://purl.org/dc/terms/description>","<http://data.europa.eu/a4g/ontology#hasDescription>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#AgentInRole>","","<http://purl.org/dc/terms/title>","<http://data.europa.eu/a4g/ontology#hasTitle>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#AwardCriterion>","","<http://data.europa.eu/a4g/ontology#hasAwardCriteriaStatedInProcurementDocuments>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#AwardDecision>","","<http://data.europa.eu/a4g/ontology#hasAwardDecisionDate>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#AwardDecision>","","<http://data.europa.eu/a4g/ontology#hasAdditionalNonAwardJustification>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ContractLotCompletionInformation>","","<http://data.europa.eu/a4g/ontology#hasPaymentValueDiscrepancyJustification>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Contract>","","","<http://data.europa.eu/a4g/ontology#hasAccessURL>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Document>","","<http://purl.org/dc/terms/title>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Document>","","<http://purl.org/dc/terms/issued>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Document>","","<http://purl.org/dc/terms/description>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ElectronicSignature>","","<http://purl.org/dc/terms/description>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Fund>","","<http://purl.org/dc/terms/description>","<http://data.europa.eu/a4g/ontology#hasDescription>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Fund>","","<http://purl.org/dc/terms/title>","<http://data.europa.eu/a4g/ontology#hasTitle>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#GreenProcurement>","","<http://data.europa.eu/a4g/ontology#usesCleanVehicleDirective>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#GreenProcurement>","","","<http://data.europa.eu/a4g/ontology#hasTotalVehicles>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#GreenProcurement>","","","<http://data.europa.eu/a4g/ontology#hasZeroEmissionVehicles>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#GreenProcurement>","","","<http://data.europa.eu/a4g/ontology#hasCleanVehicles>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#LotAwardOutcome>","","","<http://data.europa.eu/a4g/ontology#hasAwardDecisionDate>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#LotAwardOutcome>","","","<http://data.europa.eu/a4g/ontology#hasAdditionalNonAwardJustification>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#NonDisclosureAgreementTerm>","","<http://purl.org/dc/terms/description>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#NonDisclosureAgreementTerm>","","<http://data.europa.eu/a4g/ontology#isNonDisclosureAgreementRequired>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#NonPublishedInformation>","","<http://data.europa.eu/a4g/ontology#hasAccessibilityDate>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#NonPublishedInformation>","","<http://data.europa.eu/a4g/ontology#hasConfidentialityJustification>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#NoticeChangeInformation>","(renamed from epo:NoticeChange)","<http://data.europa.eu/a4g/ontology#hasAdditionalInformation>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#NoticeChangeInformation>","(renamed from epo:NoticeChange)","<http://data.europa.eu/a4g/ontology#hasProcurementDocumentChangeDate>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#NoticeChangeInformation>","(renamed from epo:NoticeChange)","<http://data.europa.eu/a4g/ontology#isProcurementDocumentChanged>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#NoticeChangeInformation>","(renamed from epo:NoticeChange)","<http://data.europa.eu/a4g/ontology#hasChangeReasonDescription>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#NoticeChangeInformation>","(renamed from epo:NoticeChange)","<http://data.europa.eu/a4g/ontology#hasChangeDescription>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Notice>","","<http://data.europa.eu/a4g/ontology#hasOJSIssueNumber>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Notice>","","<http://data.europa.eu/a4g/ontology#hasOJSType>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Notice>","","<http://data.europa.eu/a4g/ontology#hasLongTitle>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Notice>","","<http://data.europa.eu/a4g/ontology#hasNoticePublicationNumber>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Notice>","","<http://data.europa.eu/a4g/ontology#hasFormNumber>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Notice>","","<http://data.europa.eu/a4g/ontology#hasEFormsSubtype>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Notice>","","<http://data.europa.eu/a4g/ontology#hasAdditionalInformation>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Notice>","","<http://data.europa.eu/a4g/ontology#hasESenderDispatchDate>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ParticipationConditionsSummary>","","<http://data.europa.eu/a4g/ontology#describesObjectiveParticipationRules>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ParticipationConditionsSummary>","","<http://data.europa.eu/a4g/ontology#describesVerificationMethod>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ProcedureTerm>","","","<http://data.europa.eu/a4g/ontology#hasLotAwardLimit>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ProcurementCriteriaSummary>","","<http://data.europa.eu/a4g/ontology#indicatesPerformingStaffInformationRequirement>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ProcurementElement>","","<http://purl.org/dc/terms/description>","<http://data.europa.eu/a4g/ontology#hasDescription>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ProcurementElement>","","<http://purl.org/dc/terms/title>","<http://data.europa.eu/a4g/ontology#hasTitle>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ProcurementObject>","","<http://data.europa.eu/a4g/ontology#hasLegalBasisDescription>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ProfessionalSuitabilitySummary>","","<http://data.europa.eu/a4g/ontology#describesProfessionRelevantLaw>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ProfessionalSuitabilitySummary>","","<http://data.europa.eu/a4g/ontology#hasServiceReservedToParticularProfession>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ProfessionalSuitabilitySummary>","","<http://data.europa.eu/a4g/ontology#describesProfession>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#PurchaseContract>","","","<http://data.europa.eu/a4g/ontology#isWithinFrameworkAgreement>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#QualificationCriteriaSummary>","","<http://data.europa.eu/a4g/ontology#hasQualificationCondition>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#QualificationCriteriaSummary>","","<http://data.europa.eu/a4g/ontology#hasConditionVerificationMethod>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#SecurityClearanceTerm>","","<http://data.europa.eu/a4g/ontology#isSecurityClearanceRequired>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#SecurityClearanceTerm>","","<http://purl.org/dc/terms/description>","<http://data.europa.eu/a4g/ontology#hasDescription>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#SelectionCriteriaSummary>","","<http://data.europa.eu/a4g/ontology#hasSelectionCriteriaStatedInProcurementDocuments>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#SelectionCriteriaSummary>","","<http://data.europa.eu/a4g/ontology#describesMinimumLevelOfStandards>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#SubcontractTerm>","","<http://purl.org/dc/terms/description>","<http://data.europa.eu/a4g/ontology#hasDescription>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#SubcontractingEstimate>","","<http://purl.org/dc/terms/description>","<http://data.europa.eu/a4g/ontology#hasDescription>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#SubmissionStatisticalInformation>","","<http://data.europa.eu/a4g/ontology#hasOtherCountriesReceivedTenders>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#SubmissionStatisticalInformation>","","<http://data.europa.eu/a4g/ontology#hasNonEEAReceivedTenders>","<http://data.europa.eu/a4g/ontology#hasReceivedNonEEATenders>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#SubmissionStatisticalInformation>","","<http://data.europa.eu/a4g/ontology#hasNonEUReceivedTenders>","<http://data.europa.eu/a4g/ontology#hasReceivedNonEUTenders>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#SubmissionStatisticalInformation>","","<http://data.europa.eu/a4g/ontology#hasSMEReceivedTenders>","<http://data.europa.eu/a4g/ontology#hasReceivedSMETenders>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#SubmissionTerm>","","<http://data.europa.eu/a4g/ontology#hasReceiptTenderDeadline>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#SubmissionTerm>","","<http://data.europa.eu/a4g/ontology#hasReceiptPreliminaryMarketConsultationDeadline>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#SubmissionTerm>","","<http://data.europa.eu/a4g/ontology#hasReceiptParticipationRequestDeadline>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#System>","","<http://purl.org/dc/terms/description>","<http://data.europa.eu/a4g/ontology#hasDescription>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Technique>","(renamed from epo:TechniqueUsage)","<http://purl.org/dc/terms/description>","<http://data.europa.eu/a4g/ontology#hasDescription>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#VehicleInformation>","","<http://data.europa.eu/a4g/ontology#hasTotalVehicles>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#VehicleInformation>","","<http://data.europa.eu/a4g/ontology#hasZeroEmissionVehicles>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#VehicleInformation>","","<http://data.europa.eu/a4g/ontology#hasCleanVehicles>","","3.1.0","4.0.0-rc.1"
"<http://xmlns.com/foaf/0.1/Agent>","","<http://purl.org/dc/terms/title>","<http://data.europa.eu/a4g/ontology#hasTitle>","3.1.0","4.0.0-rc.1"
"<http://www.w3.org/ns/org#Organization>","","<http://data.europa.eu/a4g/ontology#hasInternetAddress>","","3.1.0","4.0.0-rc.1"
"<http://www.w3.org/ns/org#Organization>","","<http://data.europa.eu/a4g/ontology#hasOrganisationUnitName>","<http://data.europa.eu/a4g/ontology#hasOrganisationUnit>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Batch>","","<http://data.europa.eu/a4g/ontology#hasManufactureDate>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Brand>","","<http://purl.org/dc/terms/title>","<http://data.europa.eu/a4g/ontology#hasName>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ItemModel>","","<http://purl.org/dc/terms/title>","<http://data.europa.eu/a4g/ontology#hasName>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Item>","","<http://purl.org/dc/terms/title>","<http://data.europa.eu/a4g/ontology#hasName>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Item>","","<http://purl.org/dc/terms/description>","<http://data.europa.eu/a4g/ontology#hasDescription>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Item>","","","<http://data.europa.eu/a4g/ontology#hasExternalSpecification>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Item>","","","<http://data.europa.eu/a4g/ontology#hasVATRate>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Line>","","<http://purl.org/dc/terms/description>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#DeliveryAgreement>","","<http://purl.org/dc/terms/description>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#DeliveryInformation>","","<http://data.europa.eu/a4g/ontology#hasDeliveryDeadline>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Order>","","<http://data.europa.eu/a4g/ontology#hasCustomerReference>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Order>","","<http://data.europa.eu/a4g/ontology#hasAccountingCost>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Order>","","<http://data.europa.eu/a4g/ontology#hasPaymentTerm>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#AllowanceChargeInformation>","(renamed from epo-ord:PriceModifierInformation)","<http://data.europa.eu/a4g/ontology#hasPercentage>","<http://data.europa.eu/a4g/ontology#hasPricePercentage>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#AllowanceChargeInformation>","(renamed from epo-ord:PriceModifierInformation)","<http://data.europa.eu/a4g/ontology#hasAllowanceChargeReasonDescription>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#TaxInformation>","","<http://data.europa.eu/a4g/ontology#hasPercentage>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#TaxInformation>","","<http://purl.org/dc/terms/description>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#OrderResponse>","","<http://data.europa.eu/a4g/ontology#hasResponseDescription>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/m8g/Person>","","<http://data.europa.eu/m8g/registeredAddress>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ConcessionEstimate>","","<http://data.europa.eu/a4g/ontology#hasConcessionEstimatedValue>","","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ContractTerm>","","","<http://data.europa.eu/a4g/ontology#hasContractorLegalFormRequirement>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ContractTerm>","","<http://data.europa.eu/a4g/ontology#hasLegalFormRequirement>","<http://data.europa.eu/a4g/ontology#hasContractorLegalFormRequirementDescription>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#DeliveryInformation>","","","<http://data.europa.eu/a4g/ontology#concernsPlaceOfStorage>","3.1.0","4.0.0-rc.1"
